DAY 13 - RATIO EDGE CASES
============================================================
AXISBANK Mar 2020 ROE Difference = 16.52 (Source=18.4, Engine=1.88) | Category: Sector-specific
AXISBANK Mar 2021 ROE Difference = 12.04 (Source=18.4, Engine=6.36) | Category: Sector-specific
AXISBANK Mar 2022 ROE Difference = 7.39 (Source=18.4, Engine=11.01) | Category: Sector-specific
AXISBANK Mar 2023 ROE Difference = 11.02 (Source=18.4, Engine=7.38) | Category: Sector-specific
BAJAJFINSV Mar 2013 ROE Difference = 16.66 (Source=11.72, Engine=28.38) | Category: Sector-specific
BAJAJFINSV Mar 2014 ROE Difference = 11.81 (Source=11.72, Engine=23.53) | Category: Sector-specific
BAJAJFINSV Mar 2014 ROCE Difference = 5.56 (Source=21.14, Engine=15.58) | Category: Sector-specific
BAJAJFINSV Mar 2015 ROE Difference = 10.00 (Source=11.72, Engine=21.72) | Category: Sector-specific
BAJAJFINSV Mar 2015 ROCE Difference = 6.41 (Source=21.14, Engine=14.73) | Category: Sector-specific
BAJAJFINSV Mar 2016 ROE Difference = 8.69 (Source=11.72, Engine=20.41) | Category: Sector-specific
BAJAJFINSV Mar 2016 ROCE Difference = 7.57 (Source=21.14, Engine=13.57) | Category: Sector-specific
BAJAJFINSV Mar 2017 ROE Difference = 9.64 (Source=11.72, Engine=21.36) | Category: Sector-specific
BAJAJFINSV Mar 2017 ROCE Difference = 7.62 (Source=21.14, Engine=13.52) | Category: Sector-specific
BAJAJFINSV Mar 2018 ROE Difference = 8.67 (Source=11.72, Engine=20.39) | Category: Sector-specific
BAJAJFINSV Mar 2018 ROCE Difference = 8.62 (Source=21.14, Engine=12.52) | Category: Sector-specific
BAJAJFINSV Mar 2019 ROE Difference = 10.92 (Source=11.72, Engine=22.64) | Category: Sector-specific
BAJAJFINSV Mar 2019 ROCE Difference = 8.96 (Source=21.14, Engine=12.18) | Category: Sector-specific
BAJAJFINSV Mar 2020 ROE Difference = 7.43 (Source=11.72, Engine=19.15) | Category: Sector-specific
BAJAJFINSV Mar 2020 ROCE Difference = 9.62 (Source=21.14, Engine=11.52) | Category: Sector-specific
BAJAJFINSV Mar 2021 ROE Difference = 8.84 (Source=11.72, Engine=20.56) | Category: Sector-specific
BAJAJFINSV Mar 2021 ROCE Difference = 9.18 (Source=21.14, Engine=11.96) | Category: Sector-specific
BAJAJFINSV Mar 2022 ROE Difference = 8.94 (Source=11.72, Engine=20.66) | Category: Sector-specific
BAJAJFINSV Mar 2022 ROCE Difference = 10.49 (Source=21.14, Engine=10.65) | Category: Sector-specific
BAJAJFINSV Mar 2023 ROE Difference = 14.59 (Source=11.72, Engine=26.31) | Category: Sector-specific
BAJAJFINSV Mar 2023 ROCE Difference = 9.59 (Source=21.14, Engine=11.55) | Category: Sector-specific
BAJAJFINSV Mar 2024 ROE Difference = 14.13 (Source=11.72, Engine=25.85) | Category: Sector-specific
BAJAJFINSV Mar 2024 ROCE Difference = 9.43 (Source=21.14, Engine=11.71) | Category: Sector-specific
BAJAJHLDNG Mar 2013 ROCE Difference = 9.99 (Source=13.1, Engine=3.11) | Category: Sector-specific
BAJAJHLDNG Mar 2014 ROCE Difference = 9.77 (Source=13.1, Engine=3.33) | Category: Sector-specific
